"Version Year","IUSA Number","Company Name","Executive First Name","Executive Last Name","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","County","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 3","SIC Code 3 Description","SIC Code 4","SIC Code 4 Description","SIC Code 5","SIC Code 5 Description","SIC Code 6","SIC Code 6 Description","SIC Code 7","SIC Code 7 Description","SIC Code 8","SIC Code 8 Description","SIC Code 9","SIC Code 9 Description","SIC Code 10","SIC Code 10 Description","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Type of Business","Location Type","Parent IUSA Number","Subsidiary IUSA Number","Firm or Individual","Record Type","Corporate Employee Size Actual","Corporate Sales Volume Actual","Years In Database","Year Established","Home Business"
"2013","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","551102","Automobile Dealers-New Cars","551102","Automobile Dealers-New Cars","","","541101","","541105","Grocers-Retail","541101","","","","","","","","","","","","","","44111001","New Car Dealers","44111001","New Car Dealers","44511001","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511001","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","20 to 49","00025","$10 - 20 Million","$18,069,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","10","","No"
"2011","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$988,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2010","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$988,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2009","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 618-6988","541105","Grocers-Retail","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","1 to 4","00004","$500,000 - 1 Million","$988,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","21","","No"
"2001","53-974-5406","Sala Food Amc","","","","","1029 W Las Olas Blvd","Fort Lauderdale","FL","33312","7153","Broward","(954) 767-0169","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","","","","","","","","","","","","","","","","","","","","99999004","Unclassified Establishments","99999004","Unclassified Establishments","","","","","","","","","","","","","","","","","","","","00000","","$0","Private","","000000000","000000000","","Verified","000000","$0","21","1500","No"
"2001","44-435-0151","Webster Flea Market","Tom","Cushman","Manager","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593202","Antiques-Dealers","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","","","","","45331001","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","","","1 to 4","00000","Less Than $500,000","$176,000","Private","","000000000","000000000","","Verified","000000","$0","30","1500","No"
"2004","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","1 to 4","00002","Less Than $500,000","$176,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
"2003","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","1 to 4","00002","Less Than $500,000","$176,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
"2005","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","1 to 4","00002","Less Than $500,000","$176,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
"2007","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","1 to 4","00002","Less Than $500,000","$202,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
"2001","55-357-8923","Webster Westside Flea Market","","","","","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 568-0494","593218","Flea Markets","593218","Flea Markets","","","","","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","","","","","","","","","","","","","","","","","","","1 to 4","00000","Less Than $500,000","$176,000","Private","","000000000","000000000","","Verified","000000","$0","21","1500","No"
"2009","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","5 to 9","00005","$500,000 - 1 Million","$505,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
"2011","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","5 to 9","00005","$500,000 - 1 Million","$505,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","37","","No"
"2013","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","5 to 9","00005","Less Than $500,000","$415,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
"2015","44-435-0151","Webster Westside Flea Market","Tom","Cushman","Owner","Male","516 NW 3rd St","Webster","FL","33597","4756","Sumter","(352) 793-9877","593218","Flea Markets","593218","Flea Markets","","","593202","Antiques-Dealers","","","","","","","","","","","","","","","","","45331017","Used Merchandise Stores","45331017","Used Merchandise Stores","45331001","Used Merchandise Stores","","","","","","","","","","","","","","","","","5 to 9","00005","Less Than $500,000","$415,000","Private","Single Loc","000000000","000000000","2","Verified","000000","$0","30","","No"
